sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,320,HAVE_HASH = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_HASH AND HAVE_VERIFY,0,1.0,1.0,1.0,0
uniform,280,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,HAVE_SEQUENCE AND DIAGNOSTIC AND HAVE_VERIFY,0,1.0,1.0,1.0,0
bi_modal_split,320,HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_VERIFY AND HAVE_SEQUENCE AND HAVE_CRYPTO,2,1.0,1.0,1.0,0
tri_modal_split,320,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE AND HAVE_STATISTICS AND HAVE_CRYPTO,0,1.0,1.0,1.0,0
power_law,320,HAVE_HASH = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,CACHESIZE <= 288.0 AND NOT DIAGNOSTIC.1 AND HAVE_CRYPTO,2,0.375,0.25,0.75,0
normal,320,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_CRYPTO AND DIAGNOSTIC AND HAVE_SEQUENCE,0,1.0,1.0,1.0,10
uniform,320,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE AND HAVE_CRYPTO AND DIAGNOSTIC,0,1.0,1.0,1.0,10
bi_modal_split,320,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE,4,0.4210526315789474,0.2666666666666666,1.0,10
tri_modal_split,320,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,NOT HAVE_HASH.1 AND DIAGNOSTIC,2,0.5079365079365079,0.3404255319148936,1.0,10
power_law,320,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE AND HAVE_CRYPTO AND DIAGNOSTIC,4,1.0,1.0,1.0,10
